CODVIA,CIVICO,BARRATO,X,Y,DENOMINAZIONE,CATEGORIA,GRADO,SOTTOTIPO,TIPO_U,MATRICE,NUM_ISCR,COD_SEDE,INDIRIZZO,TIPO,PARITARIA,NUM_CLASSI,TIPO_IST,ATTIVITA,MUNICIPIO,ID_NIL,NIL,LONG_X_4326,LAT_Y_4326,Location,ANNOSCOL,CODICE
7340,63,,1511159.034,5040857.831,IPSCP M.DUDOVICH,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO PROFESSIONALE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,487,4054,VIA AMORETTI CARLO 63,STATALE,PARITARIA,25,ISTITUTO PROFESSIONALE STATALE PER I SERVIZI COMMERCIALI E DELLA PUBBLICITA',DIURNO,8,76,QUARTO OGGIARO - VIALBA - MUSOCCO,9.142527544,45.52098429,"(45.5209842869845, 9.14252754430246)",,
634,2,,1514096.684,5034282.972,ITI CARLO BAZZI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PRIVATI ESISTENTI,95,4058,VIA CAPPUCCIO 2,ENTE PRIVATO LAICO,PRIVATA PARITARIA,6,ISTITUTO TECNICO INDUSTRIALE,DIURNO,1,1,DUOMO,9.179953485,45.4617514,"(45.4617513963721, 9.17995348530132)",,
1213,19,,1515763.773,5037351.536,ITI DON BOSCO,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PRIVATI ESISTENTI,211,4060,VIA TONALE 19,ENTE PRIVATO RELIGIOSO,PRIVATA PARITARIA,9,ISTITUTO TECNICO INDUSTRIALE,DIURNO,2,10,STAZIONE CENTRALE - PONTE SEVESO,9.201374959,45.48933586,"(45.4893358630585, 9.20137495867058)",,
5208,8,,1514362.324,5032820.367,ITIS G.FELTRINELLI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,516,4063,PZA CARO TITO LUCREZIO 8,STATALE,PARITARIA,25,ISTITUTO TECNICO INDUSTRIALE STATALE,DIURNO,5,6,PORTA TICINESE - CONCA DEL NAVIGLIO,9.183308639,45.44858111,"(45.4485811095001, 9.18330863853885)",,
5208,8,,1514362.324,5032820.367,ITIS G.FELTRINELLI SERALE,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,196,4063,PZA CARO TITO LUCREZIO 8,STATALE,PARITARIA,10,ISTITUTO TECNICO INDUSTRIALE STATALE SERALE,SERALE,5,6,PORTA TICINESE - CONCA DEL NAVIGLIO,9.183308639,45.44858111,"(45.4485811095001, 9.18330863853885)",,
5264,21,,1513332.024,5032326.447,ITIS G.GIORGI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,334,4065,VLE LIGURIA 21,STATALE,PARITARIA,18,ISTITUTO TECNICO INDUSTRIALE STATALE,DIURNO,6,44,PORTA TICINESE - CONCHETTA,9.170120061,45.44415568,"(45.4441556752111, 9.17012006142478)",,
5264,21,,1513332.024,5032326.447,ITIS G.GIORGI SERALE,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,408,4065,VLE LIGURIA 21,STATALE,PARITARIA,25,ISTITUTO TECNICO INDUSTRIALE STATALE,DIURNO,6,44,PORTA TICINESE - CONCHETTA,9.170120061,45.44415568,"(45.4441556752111, 9.17012006142478)",,
1526,14,,1514947.449,5039259.691,ITIS L.GALVANI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,679,4070,VIA GATTI FRANCESCO 14,STATALE,PARITARIA,35,ISTITUTO TECNICO INDUSTRIALE STATALE,DIURNO,9,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,9.190986433,45.50652892,"(45.5065289189963, 9.19098643280961)",,
2524,2,,1518750.043,5038267.846,IISS J.C.MAXWELL,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO ISTRUZIONE SUPERIORE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,907,4073,VIA CALABRIA DON GIOVANNI 2,STATALE,PARITARIA,43,ISTITUTO ISTRUZIONE SUPERIORE STATALE,DIURNO,3,18,CIMIANO - ROTTOLE - Q.RE FELTRE,9.239625016,45.49750983,"(45.497509825424, 9.23962501635132)",,
2396,110,,1518761.453,5038187.196,ITIS E.MOLINARI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,760,4074,VIA CRESCENZAGO 110,STATALE,PARITARIA,39,ISTITUTO TECNICO INDUSTRIALE STATALE,DIURNO,3,18,CIMIANO - ROTTOLE - Q.RE FELTRE,9.239767974,45.4967836,"(45.4967835975419, 9.23976797400367)",,
